tumour,subsite,setting,line,subgroup,trial,phase,population,intervention,results,comment,pe,pm,rf,extra,link,src,flags
Neuroendocrine,Pancreatic NET,,,,Raymond et al,Phase 3,progressing pancreatic NET,Sunitinib vs placebo,PFS 11.4 vs 5.5 mos; 8 responses vs 0; OS NS (38.6 vs 29.1 mos),,,,,,,Neuroendocrine!20,
Neuroendocrine,Pancreatic NET,,,,CABINET,,Advanced panc and GI NETs after prev everolimus,Cabozantinib vs placebo,Enrolling,,,,,,,Neuroendocrine!21,
Neuroendocrine,Pancreatic NET,,,,RADIANT—3,,Advancing progressing pancreatic NET,Everolimus vs placebo,"PFS 11 vs 4.6 mos, HR 0.35; ORR 5 vs 2%; OS NS (44 vs 37.7 mos)",,,,,,,Neuroendocrine!22,
Neuroendocrine,Pancreatic NET,,,,SEQTOR,Phase 3,advanced and progressive pancreatic NETs,FU/streptozocin-everolimus vs opposite sequence,"12-mo PFS 71.4% (everolimus first) vs 61.8% (STZ/5-FU first), OR 0.65 (0.32-1.32); median PFS 19.4 vs 22.7 mo; ORR favoured STZ/5-FU in 1st line (30.3 vs 11.6%, p=0.012); no OS difference","Neither sequence superior on PFS; STZ/5-FU gives higher response rates, everolimus more discontinuations","12-mo PFS 71.4 vs 61.8%, OR 0.65 (95% CI 0.32-1.32)",41337860,,,,Neuroendocrine!23,
Neuroendocrine,Pancreatic NET,,,,OCLURANDOM,Phase 2,"Pretreated, progressive, SSTR-positive metastatic pancreatic NET; n=84",Lu177 dotatate vs sunitinib,12-mo PFS 80.5% (67.5-89.9) with 177Lu-dotatate vs 41.9% (29.1-55.5) with sunitinib; grade 3-4 AEs 44 vs 72%; QoL favoured 177Lu-dotatate; late grade >=2 AEs in 60% and one treatment-related acute leukaemia,"Randomised but non-comparative design - sunitinib arm served as internal control, so no formal between-arm test",12-mo PFS 80.5% vs 41.9% (sunitinib as internal control),42225102,,,,Neuroendocrine!24,
Neuroendocrine,Pancreatic NET,,,,COMPETE,Phase 3,"Inoperable/metastatic grade 1-2 GEP-NET, treatment-naive or 1 prior line; n=309",177Lu-edotreotide vs everolimus,"PFS 23.9 vs 14.1 mo, HR 0.67 (0.48-0.95), p=0.022; interim OS 63.4 vs 58.7 mo (HR 0.78, NS); grade 3-4 treatment-related AEs 18 vs 40%",Disease control 83 vs 82% but median duration 27.3 vs 17.2 mo; OS immature and confounded by crossover - 52% of the everolimus arm went on to PRRT,"PFS 23.9 vs 14.1 mo, HR 0.67 (95% CI 0.48-0.95), p=0.022",42392118,,,,Neuroendocrine!25,
Ovarian Cancer,,,1st line,,GOG 172,,"Stage III, <1cm residual",IV cis—taxol vs IV/IP cis/IP taxol,PFS 24 vs 18 mos favouring IP; OS 66 vs 50 mos; QOL worse in IP during treatment,,,,,,,Ovarian Cancer!4,
Ovarian Cancer,,,1st line,,GOG 252,,"II-III, optimally reduced",IP carb0—IV taxol vs IV taxol and IPcis/IP taxol vs IV ddCATX (all with bev),IV similar PFS to IP (25 mos)OS similar (~76 mos); worse toxicity with IP;,Possible explanations for discrepancy with GOG 172 - bev; higher dose IV cis; 28% crossover from IP to ddIV arm; possibly still a role for IP if not using bev,,,,,,Ovarian Cancer!5,
Ovarian Cancer,,,1st line,,ICON8,Phase 3,Newly diagnosed stage IC-IV epithelial ovarian cancer; n=1566,3-weekly carbo-paclitaxel vs weekly paclitaxel + 3-weekly carbo vs weekly carbo-paclitaxel,"Primary endpoint not met: median PFS 17.7 vs 20.8 vs 21.0 mo, NS; more toxicity with dose dense; worse QOL",,PFS restricted mean 24.4 vs 24.9 vs 25.3 mo; p=0.35 and p=0.51 vs control,31791688,,,,Ovarian Cancer!6,
Ovarian Cancer,,,1st line,,GOG 262,,Stage II-IV; optimally or suboptimal cytoreduction,q3 week C-T vs dd C-T; optional bev vut given to 84% of patients,PFS NS (15 mos); dose dense better if bev not given,,,,,,,Ovarian Cancer!7,
Ovarian Cancer,,,1st line,,MITO-7,,Stage IC-IV,Q3 week C-T vs ddCT,"Similar PFS (18 mos), 24 mo OS (77%)",,,,,,,Ovarian Cancer!8,
Ovarian Cancer,,,1st line,,GOG 218,Phase 3,Newly diagnosed stage III (incompletely resected) or IV epithelial ovarian cancer after debulking; n=1873,Chemo+bev-bev vs chemo+bev vs chemo,"PFS 14.1 (bev throughout) vs 11.2 (bev initiation only, NS) vs 10.3 mo; OS NS; PFS/OS benefit with ascites and stage IV",,"PFS 14.1 vs 10.3 mo, HR 0.717 (95% CI 0.625-0.824), p<0.001 (bev throughout vs control)",22204724,,,,Ovarian Cancer!9,
Ovarian Cancer,,,1st line,,ICON7,,Early+adv EOC,Chemo+/- bev (concurrent and maintenance),"PFS 24 vs 22mos; OS NS; PFS 16 vs 10.5 mos and OS 39 vs 34.5 mos in >1 cm residual disease, inoperable III, stage IV (post-hoc)",,,,,,,Ovarian Cancer!10,
Ovarian Cancer,,,1st line,,AGO-OVAR 17 BOOST/GINECO OV118/ENGOT Ov-15,,"Newly diagnosed, post CRS and 6 cycles chemo-bev",15 vs 30 month maintenance,PFS (39 mos) and OS NS,Bev treatment duration 15 mos remains standard of care,,,,,,Ovarian Cancer!11,
Ovarian Cancer,,,1st line,,JAVELIN Ovarian 100,,1st line EOC,Chemo-avelumab vs chemo->avelumab maintenance vs chemo alone,PFS NS between arms (16-18 months),,,,,,,Ovarian Cancer!12,
Ovarian Cancer,,,Maintenance,,SOLO1,,1st line maintenance; BRCAmut,Olaparib maintenance,"3 year RFS 60 vs 27%, HR 0.3; 7 year OS NR vs 75 mos (HR 0.55 but NS due to x-over)",,,,,,,Ovarian Cancer!15,
Ovarian Cancer,,,Maintenance,,PRIMA,,"1st line, response to platinum",Niraparib vs placebo,"PFS 13.8 vs 8.2 mos, HR 0.62; BRCA/HRD - PFS 8.1 vs 5.4 mos; BRCA+ PFS 22 vs 11 mos, HR 0.4",,,,,,,Ovarian Cancer!16,
Ovarian Cancer,,,Maintenance,,PAOLA,,"III/IV, response to platinum+bev",Olaparib+bev vs bev,"PFS 22 vs 16.6 mos, HR 0.59; OS NS (~53 mos); HRD + OS HR 0.62, 5 year OS 66 vs 48%; no benefit HRD negative",,,,,,,Ovarian Cancer!17,
Ovarian Cancer,,,Maintenance,,VELIA,,III/IV,chemo-Veliparib+/- veliparib maintenance vs chemo,Only veliparib with chemo and maintenance had PFS benefit; no PARP PFS benefit without maint;,,,,,,,Ovarian Cancer!18,
Ovarian Cancer,,,"Relapsed, platinum-sensitive (PFI ≥6 mo)",,GCIG,,Plat sens recurrent ovarian,Carbo vs carbo-Gem,PFS 8.6 vs 5.8 mos; OS NS,,,,,,,Ovarian Cancer!21,
Ovarian Cancer,,,"Relapsed, platinum-sensitive (PFI ≥6 mo)",,CALYPSO,,Plat sens recurrent EOC,Carbo-PLD vs Carbo-taxol,PFS 11.3 vs 9.4 mos; OS NS (~31 mos),,,,,,,Ovarian Cancer!22,
Ovarian Cancer,,,"Relapsed, platinum-sensitive (PFI ≥6 mo)",,OCEANS,,Plat sens recurrent EOC,carbo-gem +/- bev (concurrent and maintenance),"PFs 12 vs 8 mos, HR 0.48; OS NS",,,,,,,Ovarian Cancer!23,
Ovarian Cancer,,,"Relapsed, platinum-sensitive (PFI ≥6 mo)",,GOG 213,,Plat sens recurrent EOC,Carbo-taxol +/- bev (concurrent and maintenance),"PFS 14 vs 10 mos, HR 0.61; OS 43 vs 37 mos, HR 0.82",,,,,,,Ovarian Cancer!24,
Ovarian Cancer,,,"Relapsed, platinum-sensitive (PFI ≥6 mo)",,NOVA,,Plat sens recurrent EOC; 2nd line maint,Niraparib maint vs placebo,"Non-gBRCA PFS 9.3 vs 3.9 mos, HR 0.45; OS NS with longer follow up - trend to worsening in BRCAwt; BRCAmut PFS 21 vs 5.5 mos, HR 0.27",,,,,,,Ovarian Cancer!25,
Ovarian Cancer,,,"Relapsed, platinum-sensitive (PFI ≥6 mo)",,Study 19,,Plat sens recurrent EOC; 2nd line maint,Olaparib maint vs placebo,"PFS 8 vs 5 mos, HR 0.35; OS NS (HR 0.73 trend);",,,,,,,Ovarian Cancer!26,
Ovarian Cancer,,,"Relapsed, platinum-sensitive (PFI ≥6 mo)",,SOLO2,,Plat sens recurrent EOC; 2nd line maint; gBRCA,Olaparib vs placebo maint,"PFS 19 vs 5.5 mos, HR 0.3; OS 52 vs 39 mos, HR 0.74 (NS p 0.054);",,,,,,,Ovarian Cancer!27,
Ovarian Cancer,,,"Relapsed, platinum-sensitive (PFI ≥6 mo)",,ARIEL3,,Plat sens recurrent EOC; 2nd line maint,Rucaparib maint vs placebo,"PFS 10.8 vs 5.4 mos, HR 0.36; in HRD+ 13.6 vs 5.4 mos",,,,,,,Ovarian Cancer!28,
Ovarian Cancer,,,"Relapsed, platinum-sensitive (PFI ≥6 mo)",,SOLO3,,Plat sens recurrent EOC; 2nd line; gBRCA,Olaparib vs non-platinum chemo,ORR 72 vs 51%; PFS 13 vs 9 mos,(Bizarre control arm...),,,,,,Ovarian Cancer!29,
Ovarian Cancer,,,"Relapsed, platinum-sensitive (PFI ≥6 mo)",,SOC-1,,Platinum sensitive relapsed potentially resectable per iMODEL ≤4.7 and PET,Chemo+/- cytoreduction,"PFS 17.4 vs 11.9 mos, HR 0.58; OS immature",DESKTOP III showed OS benefit with surgery but OS better with no surgery in GOG-0213; there are differences in bev and PARP maintenance use between trials; SOC-3 will be using niraparib maintenance in both arms in future study,,,,,,Ovarian Cancer!30,
Ovarian Cancer,,,"Relapsed, platinum-sensitive (PFI ≥6 mo)",,DESKTOP-III,,"PFI≥6 months, positive AGO score (ECOG 0, ascites <500 ml, CR at initial surgery)",Platinum based chemo+/-cytoreduction,"OS 54 vs 46 mos (HR 0.75); CR 76% and these had the best outcome (,ed OS 62 mos)",,,,,,,Ovarian Cancer!31,
Ovarian Cancer,,,Platinum-resistant (PFI <6 mo),,Benefits - OS (note),,3rd line - 11 vs 3 mos,2nd line of plat res chemo - 14 vs 4 mos,4th line - 8 vs 3 mos,,,,,,,Ovarian Cancer!34,
Ovarian Cancer,,,Platinum-resistant (PFI <6 mo),,AURELIA,,Plat res recurrent EOC; didn’t progress during platinum,Chemo+/- bev,"PFS 6.7 vs 3.4 mos, HR 0.48; OS NS (16.6 vs 13.3 mos); ORR 31 vs 13%; 2.2% GI perf with bev",,,,,,,Ovarian Cancer!35,
Ovarian Cancer,,,Platinum-resistant (PFI <6 mo),,GINECO,,Plat resistant,Taxol vs Taxol-carbo vs Taxol-topotecan,ORR NS; PFS NS; more neutropenia/feb neut with combination,,,,,,,Ovarian Cancer!36,
Ovarian Cancer,,,Platinum-resistant (PFI <6 mo),,KEYNOTE-B96,Phase 3,Plat resistant,Taxol (+/-bev) +/- pembro,"PFS 8 vs 6 mos, HR 0.73; OS HR 0.76",,,,,,,Ovarian Cancer!37,
Ovarian Cancer,,,Platinum-resistant (PFI <6 mo),,SORAYA,Phase 3,"FRα+ve platinum resistant epithelial ovarian, fallopian tube or primary peritoneal, post 1-3 lines Rx; single arm phase 3",Mirvetuximab soravtansine-gynx (Elahere),ORR 32%; DOR 7 months; PFS 5.5 months,,,,,,,Ovarian Cancer!38,
Ovarian Cancer,,,Platinum-resistant (PFI <6 mo),,MIRASOL,Phase 3,FRα+ve platinum resistant epithelial ovarian; fallopian tube or primary peritoneal; post 1-3 lines Rx,MIRV vs investigators choice,"PFS 5.6 vs 4 mos; OS 16 vs 13 mos, HR 0.67",,,,,,,Ovarian Cancer!39,
Prostate Cancer,,Non-metastatic,,,STAMPEDE,,"High risk non-metastatic prostate cancer (N1 or at least 2 of T3-4, PSA>40, G 8-10)",ADT+/-abi or +/-abi+enza x 2 years,6 year OS 86 vs 77%; met free survival 82 vs 69%,,,,,,,Prostate Cancer!4,
Prostate Cancer,,Biochemical recurrence,,,EMBARK,,High risk biochemical recurrence (DT≤9 mos),ADT+/-enza or enza alone,"Met free survival at 5 years 87% vs 71% vs 80%; 8 year oS 79 vs 70%, HR 0.44;",,,,,,,Prostate Cancer!7,
Prostate Cancer,,CSPC,,,INT 0162,,"CSPC, metastatic, PSA ≥5; 7 mos treatment then randomized if PSA≤4; noninferiority study",IAD vs continuous ADT,"OS longer with continuous 5.8 vs 5.1 years, HR 1.1; not non0inferior; improved erectile function and mental health with IAD at 3 months but not later",Continuous ADT is standard in metastatic disease,,,,"Ensure vitamin D 800-1000 u, calcium 1000-1200 mg daily; weight bearing exercise, decrease EtOH and tobacco; can use FRAx with or without BMD to see who might benefit from bone modifying agents",,Prostate Cancer!10,
Prostate Cancer,,CSPC,,,JPR.7,,Rising PSA without mets after XRT,IAD vs continuous,IAD non-inferior,,,,,,,Prostate Cancer!11,
Prostate Cancer,,CSPC,,,HERO,,Advanced prostate ca,Relugolix vs leuprolide,More rapid suppression T; castrate maintenance weeks 29-48 97 vs 88%; higher T after relugolix d/c; 54% lower cardiovasc events with relugolix,,,,,,,Prostate Cancer!12,
Prostate Cancer,,CSPC,,,Meta-analysis PCTCG,Meta-analysis,"Advanced prostate cancer (88% metastatic); 27 RCTs, n=8275",CAB vs ADT,"5-y OS 25.4 vs 23.6%, NS; excluding cyproterone acetate trials 27.6 vs 24.7%, p=0.005; cyproterone trials slightly unfavourable",,"5-y OS 25.4 (CAB) vs 23.6% (ADT alone), 2p=0.11",10801170,,,,Prostate Cancer!13,
Prostate Cancer,,CSPC,,,LATITUDE,,"High risk (2/3 of Gleason≥8, ≥3 bone lesions, visceral disease)",ADT+/- abi/pred,"OS 53 vs 36.5 mos, HR 0.66;",,,,,,,Prostate Cancer!14,
Prostate Cancer,,CSPC,,,STAMPEDE,,heterogeneous population,ADT+/- abi/pred,"OS 83 vs 76%, HR 0.63; Similar HR between non-metastatic and metastatic; 3 year FFS 75 vs 45%, HR 0.29; in M1 benefit in both high and low risk and disease volume","ADT alone FFS 20 mos, OS 42 mos",,,,,,Prostate Cancer!15,
Prostate Cancer,,CSPC,,,CHAARTED,,High volume disease (visceral mets and/or 4 bone mets with at least one outside vert bodies and pelvis),ADT+/- Doce,"OS 58 vs 47 mos, HR 0.72; In high volume 51 vs 34 mos, HR 0.63; OS NS in low volume (~64 mos)",,,,,,,Prostate Cancer!16,
Prostate Cancer,,CSPC,,,STAMPEDE,,High risk without mets and also M1,ADT vs Docet vs Doce+zometa vs zometa,"OS doce vs ADT 81 vs 71 mos, HR 0.78; zometa addition was NS; FFS 37 vs 20 mos",,,,,,,Prostate Cancer!17,
Prostate Cancer,,CSPC,,,GETUG-AFU 15,,Met prostate ca,ADT+/- doce,OS NS (62 vs 49 mos); PFS improved with added doce,,,,,,,Prostate Cancer!18,
Prostate Cancer,,CSPC,,,PEACE-1,Phase 3,De novo metastatic CSPC; n=1173,SOC (ADT +/- docetaxel) +/- abiraterone +/- RT (2x2 factorial),"Abiraterone: rPFS HR 0.54, OS HR 0.82; with ADT + docetaxel: rPFS HR 0.50, OS HR 0.75 (25% reduced risk of death)",,rPFS HR 0.54 (99.9% CI 0.41-0.71); OS HR 0.82 (95.1% CI 0.69-0.98) - abiraterone vs no abiraterone,35405085,,,,Prostate Cancer!19,
Prostate Cancer,,CSPC,,,PEACE-3,,Met CRPC,Enza+/-Ra223,"rPFS 16 vs 19 mos, HR 0.69; OS 35 vs 42 mos, HR 0.69",,,,,,,Prostate Cancer!20,
Prostate Cancer,,CSPC,,,ARASENS,,metastatic CSPC,ADT/doce +/- darolutamide,"OS NR vs 48 mos, HR 0.68; 4 year OS 63 vs 50%",Not clear who needs docetaxel; clearly ARAT is important,,,,,,Prostate Cancer!21,
Prostate Cancer,,CSPC,,,ENZAMET,,metastatic CSPC,ADT-enza vs ADT-non-steroidal antiandrogen,3 year OS 80 vs 72%; 5 year OS 67 vs 57%; no benefit in subgroup who received docetaxel as well;,,,,,,,Prostate Cancer!22,
Prostate Cancer,,CSPC,,,TITAN,,metastatic CSPC,ADT+/-apalutamide,"2 year OS 82 vs 74%, HR 0.67; benefit in high and low volume;",Apalutamide is supposed to have fewer CNS side effects than enza,,,,,,Prostate Cancer!23,
Prostate Cancer,,CSPC,,,ARCHES,,metastatic CSPC,ADT+/-enza,Radiographic DFS HR 0.39; OS data not mature;,,,,,,,Prostate Cancer!24,
Prostate Cancer,,CSPC,,,STAMPEDE,,Metastatic prostate ca; High volume disease (visceral mets and/or 4 bone mets with at least one outside vert bodies and pelvis),systemic+/-prostate XRT,"OS NS but 3 year FFS 32 vs 23%, HR 0,76; OS better in low metastatic burden subgroup, HR 0.68",,,,,,,Prostate Cancer!25,
Prostate Cancer,,CSPC,,,PSMAddition,Phase 3,met CSPC; 1st line,ADT+ARPI +/- Lu-PSMA-617,"rPFS NR vs NR, HR 0.72;",,,,,,,Prostate Cancer!26,
Prostate Cancer,,CSPC,,,CAPItello-281,Phase 3,first line HSPC; PTEN deficient,Abi/pred +/- capivasertib,"rPFS 33 vs 26 mos, HR 0.81; OS immature",,,,,,,Prostate Cancer!27,
Prostate Cancer,,CRPC,,,TAX 327,,met CRPC,Doce-pred vs mitox-pred,OS 19 vs 16 mos; 3 year OS 18 vs 13.5%;,,,,,,,Prostate Cancer!30,
Prostate Cancer,,CRPC,,,FIRSTANA,,Met CRPC,Cabazi vs Doce,OS/PFS NS;,,,,,,,Prostate Cancer!31,
Prostate Cancer,,CRPC,,,TROPIC,,Met CRPC post doce,Cabazitaxel vs mitox,"OS 15 vs 12.7 mos, HR 0.7",Preferred dose cabazi is 20 mg/m2 because of decreased toxicity and similar OS,,,,,,Prostate Cancer!32,
Prostate Cancer,,CRPC,,,CARD,,"Post doce, post abi/enza",Cabazi vs (enza or abi),OS 13.6 vs 11 mos (HR 0.64);,,,,,,,Prostate Cancer!33,
Prostate Cancer,,CRPC,,,ALSYMPCA,,Doce exposed or ineligible CRPC,Ra223 vs placebo,"OS 14 vs 11.2 mos, HR 0.7;",,,,,,,Prostate Cancer!34,
Prostate Cancer,,CRPC,,,COU-AA-301,,Prev doce,Abi-pred vs pred,"OS 15.8 vs 11.2 mos, HR 0.74",,,,,,,Prostate Cancer!35,
Prostate Cancer,,CRPC,,,COU-AA-302,,Chemo naive,Ab-pred vs pred,"OS 34.7 vs 30 mos, HR 0.81;",,,,,,,Prostate Cancer!36,
Prostate Cancer,,CRPC,,,PLATO,,"Post enza, phase IV",Abi,PFS 5.6 mos,,,,,,,Prostate Cancer!37,
Prostate Cancer,,CRPC,,,SWITCH,,CRPC with PD on abi,Switch to dex from pred,"PSA 30 in 46%, PSA50 in 35%; med time to biochemical and radiographic progression 5 and 11.8 mos",,,,,,,Prostate Cancer!38,
Prostate Cancer,,CRPC,,,AFFIRM,,Post doce,Enza vs placebo,"OS 18.4 vs 13.6 mos, HR 0.63",,,,,,,Prostate Cancer!39,
Prostate Cancer,,CRPC,,,PREVAIL,,"HSPC, metastatic, no prior doce",Enza vs placebo,"OS 35 vs 31 mos, HR 0.77; rPFS 20 vs 5.4 mos, HR 0.32",In latest follow up more fatal TRAEs (6.9 vs 3.8%) including CV events 1.6 vs 0.4%),,,,,,Prostate Cancer!40,
Prostate Cancer,,CRPC,,,Khalaf/Chi,Phase 2,randomized; CRPC; 1st line,Enza or Abi first then switch,Similar PFS (10 vs 11 mos) but better 2nd line responses with abi->enza 36 vs 4%; longer 2nd PFS 3.5 vs 1.7 mos,,,,,,,Prostate Cancer!41,
Prostate Cancer,,CRPC,,,ALLIANCE A031201,Phase 3,Untreated mCRPC; n=1311,Enza+abi vs enza,"Primary endpoint not met: OS 32.7 vs 34.2 mo, HR 0.89; rPFS 21.3 vs 24.3 mo, HR 0.86; enzalutamide increases abiraterone clearance",,"OS 32.7 vs 34.2 mo, HR 0.89, one-sided p=0.03 (boundary 0.02)",36996380,,,,Prostate Cancer!42,
Prostate Cancer,,CRPC,,,PRESIDE,Phase 3,Patients progressing on enzalutamide,Docetaxel +/- Enza,"PFS 10 vs 8 mos, HR 0.72;",,,,,,,Prostate Cancer!43,
Prostate Cancer,,CRPC,,,ACIS,Phase 3,1st line mCRC,Abi +/- apalutamide,"rPFS 23 vs 17 mos, HR 0.69; OS NS",,,,,,,Prostate Cancer!44,
Prostate Cancer,,CRPC,,,PROfound,,Post AR therapy+/- prev doce;,Olaparib vs (abi or enza),"rPFS 7.4 vs 3.6 mos, HR 0.34; OS 19 vs 15 mos, HR 0.69",Greater benefit in BRCA1/2/ATM genes than with others,,,,,,Prostate Cancer!45,
Prostate Cancer,,CRPC,,,TRITON3,,CRPC post ARPI and HRR mutations (BRCA1/2 or ATM),Rucaparib vs physician choice (abi/enza or doce),"rPFS (BRCA) 11 vs 6 mos, HR 0.5; rPFS (ITT) 10 vs 6 mos, HR 0.6;",ATM subgroup was NS for rPFS,,,,,,Prostate Cancer!46,
Prostate Cancer,,CRPC,,,MAGNITUDE,Phase 3,Phase 3 first line mCRPC; stratified for HRRm,Abiraterone +/- niraparib,RPFS NS for HRR negative; in the HRRm positive cohort there was improved rPFS WITH HR 0.73; better for BRCA 1/2; OS immature,,,,,,,Prostate Cancer!47,
Prostate Cancer,,CRPC,,,PROpel,Phase 3,Phase 3 first line mCRPC; HRRm unselected,Abiraterone +/- olaparib,"Improved rPFS, OS NS (trend HR 0.81)f",Benefit irrespective of HRRm status,,,,,,Prostate Cancer!48,
Prostate Cancer,,CRPC,,,TALAPRO-2,Phase 3,Phase 3 first line mCRPC; with HRRm,Enzalutamide +/- talazoparib,"rPFS NR VS 14 mos, HR 0.45;",More benefit in BRCAm population,,,,,,Prostate Cancer!49,
Prostate Cancer,,CRPC,,,IPATENTIAL150,Phase 3,"Met CRPC, 1st line; asymptomatic or mildly symptomatic phase 3",Abiraterone/prednisone+/-ipatasertib,"RPFS in PTEN- patients 18.5 vs 16.5 mos, HR 0.77; OS immature; diarrhea and skin rash",,,,,,,Prostate Cancer!50,
Prostate Cancer,,CRPC,,,VISION,Phase 3,PSMA+ mCRPC; prev ARAT and taxane,SOC +/- Lu-PSMA-617; SOC could include Ra223 or chemo,"RPFS 8.7 vs 3.4 mos, HR 0.4; OS 15 vs 11 mos, HR 0..62;",,,,,,,Prostate Cancer!51,
Prostate Cancer,,CRPC,,,TheraP,Phase 2,PSMA-positive mCRPC for whom cabazitaxel was next standard; n=200,Lu-PSMA vs cabazitaxel,"PSA reduction ≥50% in 66 vs 37%; better PFS, QOL; grade 3-4 AEs 33 vs 53%; OS NS (RMST 19.1 vs 19.6 mo); better results with higher PSMA SUV",OS update: PMID 38043558,"PSA50 66 vs 37%, difference 29% (95% CI 16-42), p<0.0001",33581798,,,,Prostate Cancer!52,
Prostate Cancer,,CRPC,,,PSMAfore,Phase 3,"Phase 3 mCRPC, prev 2nd gen ARAT; taxane naive",Lu-177 vs change in ARAT,"rPFS 12 vs 5.6 mos, HR 0.43; OS NS (crossover present)",,,,,,,Prostate Cancer!53,
Prostate Cancer,,M0 CRPC,,,PROSPER,,"HSPC, M0. PSADT<10 mos",Enza vs placebo,"Met free survival 36.6 vs 14.7 mos, HR 0.29; OS 67 vs 56 mos, HR 0.73",,,,,,,Prostate Cancer!56,
Prostate Cancer,,M0 CRPC,,,SPARTAN,,"HSPC, M0. PSADT<10 mos",Apalutamide vs placebo,"Met free survival 40.5 vs 16.2 mos, HR 0.28; OS 74 vs 60 mos, HR 0.78",,,,,,,Prostate Cancer!57,
Prostate Cancer,,M0 CRPC,,,ARAMIS,,"HSPC, M0. PSADT<10 mos",Darolutamide vs placebo,"Met free survival 40 vs 18 mos, HR 0.41; PFS 37 vs 15 mos, HR 0.38); OS HR 0.71",,,,,,,Prostate Cancer!58,
Sarcoma,GIST,,,,ACOSOG Z9001,,Resected GI GIST ≥3cm,Imatinib 1 year vs placebo,"1 year RFS 98 vs 83%, HR 0.35; for high risk relapse rate 19% vs 47%; for mod risk 14 vs 5%; OS NS but there was crossover",Study stopped early; benefit continued for 1 year beyond adjuvant after which rate of recurrence similar to control,,,,,,Sarcoma!5,
Sarcoma,GIST,,,,EORTC 62024,,Int or high risk GIST (2002 NIH classification),Imatinib x 2 years vs observation,"5 year Imatinib failure free survival 87% vs 84%, HR 0.7; 3 year RFS 84 vs 66%; 5 year OS NS (100 vs 99%)",,,,,,,Sarcoma!6,
Sarcoma,GIST,,,,SSG XVIII,,High risk GIST (modified consensus criteria),Imatinib 36 mos vs Imatinib 12 mos,"5 year RFS 71 vs 53%, 10 year RFS 53 vs 42%; 5 year OS 92 vs 86%, 10 year OS 79 vs 65% (rate of death at 10 years reduced by 50% with 3 years rather than 1 year)",,,,,,,Sarcoma!7,
Sarcoma,GIST,,,,SSG XXII,,High risk GIST,Imatinib 5 years vs 3 years,Currently accruing (estimated completion date 2028),,,,,,,Sarcoma!8,
Sarcoma,GIST,,,,IMADGIST,Phase 3,High risk GIST,IM 6 vs 3 years,DFS favoured 6 years (HR 0.40); 3 year DFS (randomized after 3 years IM) 72% vs 42%,,,,,,,Sarcoma!9,
Sarcoma,GIST,,,,SWOG S0033,Phase 3,metastatic GIST,Imatinib (2 different doses),10 year OS 22%; of long term survivors 49% only had imatinib,,,,,,,Sarcoma!10,
Sarcoma,GIST,,,,Demetri,Phase 3,Imatinib resistant GIST,Sunitinib vs placebo,"TTP 27 vs 6.4 weeks, HR 0.33; (stopped early)",More benefit seen in exon 9 patients than exon 11;,,,,,,Sarcoma!11,
Sarcoma,GIST,,,,INTRIGUE,,"GIST, 2nd line after imatinib",Ripretinib vs Sunitinib,PFS NS (~8 mos); fewer G3-4 AEs ripretinib; OS NS,Subgroup analysis suggested ripretinib benefit in patients with mutations in KIT activating loop (exon 17/18) but sunitinib benefit in KIT ATP binding pocket mutations (exons 13/14),,,,,,Sarcoma!12,
Sarcoma,GIST,,,,GRID,Phase 3,Failure of IM and SUN,Regorafenib vs placebo,PFS 4.8 vs 0.9 mos; OS NS but crossover used;,,,,,,,Sarcoma!13,
Sarcoma,GIST,,,,INVICTUS,Phase 3,refractory/intolerant to IM; SUN; REG,Ripretinib vs placebo,PFS 6 vs 1 mo (HR 0.15); OS 16 vs 5 mos,Basis for FDA approval ripretinib in 4th line,,,,,,Sarcoma!14,
Sarcoma,GIST,,,,NAVIGATOR,Phase 1,GIST with PDGFRA exon 18 D842V mutation studied as special subgroup; no prior therapy required in D842V patients,Avapritinib 300 or 400 mg daily,"D842V patients: ORR 88%, 2 year OS 81%;",Basis for FDA approval for PDGFR exon 18 mutations in GIST,,,,,,Sarcoma!15,
Sarcoma,GIST,,,,VOYAGER,,3rd line metastatic GIST (not selected for mutation),Avapritinib vs regorafenib,Avapritinib did not improve PFS 4.2 vs 5.6 mos (NS),,,,,,,Sarcoma!16,
Sarcoma,Other,,,,DeFi,Phase 3,Desmoid tumours,nirogacestat vs placebo,"2 year PFS 76 vs 44%, HR 0.29; ORR 41 vs 8%; CR 7 vs 0%",,,,,,,Sarcoma!19,
